SCC.Lane.Deviation.2,VDS.Veh.Speed
-0.553865731,5.98E-05
-0.553865671,5.99E-05
-0.553865552,6.01E-05
-0.553865433,6.03E-05
-0.553865373,6.01E-05
-0.553865373,6.16E-05
-0.553865552,6.11E-05
-0.55386579,6.06E-05
-0.553866208,5.85E-05
-0.553866684,5.83E-05
-0.553867102,5.76E-05
-0.553867459,5.75E-05
-0.553867757,5.71E-05
-0.553867996,5.57E-05
-0.553868175,5.46E-05
-0.553868294,5.22E-05
-0.553868353,5.14E-05
-0.553868353,5.28E-05
-0.553868175,5.32E-05
-0.553867996,5.39E-05
-0.553867877,5.43E-05
-0.553867877,5.45E-05
-0.553867936,5.38E-05
-0.553868115,5.49E-05
-0.553868353,5.36E-05
-0.553868592,5.22E-05
-0.553869009,5.32E-05
-0.553869307,5.06E-05
-0.553869605,4.84E-05
-0.553869963,4.83E-05
-0.553870201,4.88E-05
-0.55387032,4.99E-05
-0.553870559,5.09E-05
-0.553870857,5.13E-05
-0.553871334,5.04E-05
-0.55387181,4.91E-05
-0.553872228,4.90E-05
-0.553872705,4.86E-05
-0.553872705,4.89E-05
-0.553872883,4.99E-05
-0.553872943,5.01E-05
-0.553873003,4.98E-05
-0.553873122,5.20E-05
-0.553873241,5.08E-05
-0.55387336,5.10E-05
-0.553873599,5.07E-05
-0.553873837,5.16E-05
-0.553874075,5.07E-05
-0.553874314,5.09E-05
-0.553874493,4.95E-05
-0.553874612,4.87E-05
-0.553874671,4.83E-05
-0.553874612,4.79E-05
-0.553874493,4.77E-05
-0.553874314,4.96E-05
-0.553874195,4.89E-05
-0.553874075,4.98E-05
-0.553874075,4.93E-05
-0.553874135,4.81E-05
-0.553874254,4.80E-05
-0.553874493,4.78E-05
-0.553874671,4.81E-05
-0.55387491,4.76E-05
-0.553875268,4.66E-05
-0.553875685,4.71E-05
-0.553875983,4.72E-05
-0.553876281,4.70E-05
-0.553876519,4.70E-05
-0.553876758,4.71E-05
-0.553876996,4.80E-05
-0.553877175,4.88E-05
-0.553877413,4.89E-05
-0.553877711,4.97E-05
-0.553878009,5.11E-05
-0.553878307,5.20E-05
-0.553878665,5.38E-05
-0.553879082,5.69E-05
-0.553879619,6.40E-05
-0.553880274,7.16E-05
-0.553881109,8.03E-05
-0.55388242,8.74E-05
-0.553884208,9.40E-05
-0.553886414,0.000100169
-0.553888977,0.000102654
-0.553891778,0.000103511
-0.55389452,0.000104047
-0.553897083,0.000102718
-0.553899169,0.000103266
-0.553900719,0.000101903
-0.553901792,0.000100683
-0.553902268,0.000102232
-0.553902209,0.000104827
-0.553901613,0.000107238
-0.553900659,0.000110556
-0.553899586,0.000116342
-0.553898454,0.000122955
-0.553897381,0.000133249
-0.553896546,0.000147845
-0.55389601,0.000162076
-0.553896189,0.000172435
-0.553897202,0.000187057
-0.553898931,0.000200525
-0.553901434,0.000210521
-0.553904653,0.000217243
-0.553908527,0.000223599
-0.553912699,0.000224457
-0.553916872,0.000224525
-0.553920865,0.000221215
-0.553924263,0.000218462
-0.553926945,0.000220492
-0.553928733,0.000223626
-0.553929508,0.000223943
-0.553929627,0.000226429
-0.55392915,0.000228921
-0.553928196,0.000232453
-0.553926647,0.000237867
-0.55392468,0.000243955
-0.553922474,0.000252343
-0.553920269,0.000265629
-0.553918242,0.000275932
-0.553916693,0.000284585
-0.553915799,0.000294532
-0.55391556,0.000300253
-0.553915977,0.000299855
-0.553916991,0.000295041
-0.553918302,0.000282927
-0.553919554,0.00027335
-0.553920269,0.000262814
-0.55392009,0.000254294
-0.553919077,0.000248019
-0.553917348,0.000243418
-0.553915024,0.000240589
-0.553912401,0.000237513
-0.55390954,0.000230806
-0.553906679,0.000222253
-0.553903759,0.000210318
-0.553900659,0.000197565
-0.553897262,0.000185316
-0.553889513,0.000164203
-0.553889513,0.000138733
-0.553885162,0.000117971
-0.553880095,9.86E-05
-0.553874314,8.22E-05
-0.553867996,6.88E-05
-0.553861499,5.81E-05
-0.553855181,5.73E-05
-0.55384928,5.50E-05
-0.553844392,5.31E-05
-0.553840995,5.04E-05
-0.553839147,4.51E-05
-0.55383873,4.11E-05
-0.553839624,3.58E-05
-0.553841531,3.25E-05
-0.553844392,2.72E-05
-0.553848028,2.43E-05
-0.553852379,2.11E-05
-0.553857088,1.73E-05
-0.553862095,1.37E-05
-0.553867221,1.11E-05
-0.553872228,5.97E-06
-0.553876996,1.52E-05
-0.553881228,2.68E-05
-0.553884208,4.18E-05
-0.553886116,5.94E-05
-0.553886712,7.51E-05
-0.553885818,8.46E-05
-0.553883374,9.17E-05
-0.553879619,9.64E-05
-0.553874969,9.88E-05
-0.553869843,9.92E-05
-0.553864598,9.80E-05
-0.553859532,9.21E-05
-0.553855002,8.55E-05
-0.553851426,7.58E-05
-0.553849041,6.94E-05
-0.553848088,6.50E-05
-0.553848743,6.36E-05
-0.55385077,6.26E-05
-0.553853929,6.64E-05
-0.553857923,7.02E-05
-0.553862512,7.46E-05
-0.5538674,7.99E-05
-0.553872287,8.49E-05
-0.553876996,8.63E-05
-0.553881228,8.85E-05
-0.553884923,8.94E-05
-0.553888142,8.73E-05
-0.553890824,8.38E-05
-0.55389291,7.87E-05
-0.553894639,7.35E-05
-0.55389601,6.76E-05
-0.553897142,6.32E-05
-0.553898156,6.03E-05
-0.553898931,5.69E-05
-0.553899527,5.37E-05
-0.553899884,5.09E-05
-0.553900063,4.74E-05
-0.553900003,4.49E-05
-0.553899884,4.22E-05
-0.553899705,4.06E-05
-0.553899467,3.98E-05
-0.553899348,3.90E-05
-0.553899169,3.66E-05
-0.55389899,3.47E-05
-0.553898752,3.36E-05
-0.553898513,3.33E-05
-0.553898335,3.35E-05
-0.553898156,3.36E-05
-0.553897977,3.38E-05
-0.553897798,3.33E-05
-0.553897619,3.32E-05
-0.5538975,3.34E-05
-0.553897381,3.35E-05
-0.553897381,3.46E-05
-0.553897321,3.56E-05
-0.553897381,3.57E-05
-0.553897381,3.62E-05
-0.553897381,3.64E-05
-0.5538975,3.77E-05
-0.553897619,3.78E-05
-0.553897798,3.73E-05
-0.553897977,3.82E-05
-0.553898156,3.74E-05
-0.553898394,3.81E-05
-0.553898752,3.85E-05
-0.553899169,3.83E-05
-0.553899527,3.91E-05
-0.553899884,3.87E-05
-0.553900123,3.86E-05
-0.553900301,3.82E-05
-0.55390048,3.73E-05
-0.553900599,3.66E-05
-0.553900719,3.61E-05
-0.553900838,3.32E-05
-0.553901076,3.21E-05
-0.553901434,2.99E-05
-0.553901792,2.95E-05
-0.553902149,2.97E-05
-0.553902566,2.80E-05
-0.553902924,2.73E-05
-0.553903222,2.72E-05
-0.55390358,2.38E-05
-0.553903818,2.55E-05
-0.553904057,2.58E-05
-0.553904355,2.72E-05
-0.553904533,2.67E-05
-0.553904653,2.59E-05
-0.553904653,2.24E-05
-0.553904593,2.29E-05
-0.553904653,2.19E-05
-0.553904831,2.00E-05
-0.55390501,1.90E-05
-0.553905308,1.81E-05
-0.553905606,1.81E-05
-0.553905964,1.77E-05
-0.553906441,1.65E-05
-0.553906918,1.34E-05
-0.553907394,1.16E-05
-0.553907871,8.15E-06
-0.553908408,5.26E-06
-0.553908944,4.22E-06
-0.553909659,2.77E-06
-0.553910315,2.31E-06
-0.553910971,2.73E-06
-0.553911567,5.08E-06
-0.553911984,6.35E-06
-0.553912282,7.85E-06
-0.553912282,6.03E-06
-0.553911984,5.40E-06
-0.553911567,4.89E-06
-0.55391109,2.15E-06
-0.553910732,6.27E-07
-0.553910434,2.00E-06
-0.553910255,3.88E-06
-0.553910255,5.25E-06
-0.553910255,7.64E-06
-0.553910375,1.17E-05
-0.553910553,1.56E-05
-0.553910911,2.04E-05
-0.553911507,2.48E-05
-0.553912342,2.56E-05
-0.553913355,2.83E-05
-0.553914666,2.99E-05
-0.553915918,2.97E-05
-0.553917229,2.76E-05
-0.553918481,2.71E-05
-0.553919554,3.03E-05
-0.553920329,3.15E-05
-0.553920865,3.03E-05
-0.553921223,2.87E-05
-0.553921402,2.46E-05
-0.553921282,2.63E-05
-0.553920805,2.78E-05
-0.553919911,2.91E-05
-0.553918958,3.17E-05
-0.553917885,3.56E-05
-0.553916991,3.46E-05
-0.553916276,3.18E-05
-0.553915739,2.81E-05
-0.553915143,2.86E-05
-0.553914428,2.90E-05
-0.553913653,3.21E-05
-0.553913057,3.34E-05
-0.553912699,3.71E-05
-0.55391258,3.14E-05
-0.553913057,2.80E-05
-0.553913057,2.39E-05
-0.553913176,2.37E-05
-0.553913176,2.27E-05
-0.553913057,2.28E-05
-0.553912938,2.32E-05
-0.553912878,2.25E-05
-0.553912878,2.13E-05
-0.553912938,1.97E-05
-0.553913116,1.86E-05
-0.553913236,1.73E-05
-0.553913295,1.75E-05
-0.553913414,1.69E-05
-0.553913474,1.77E-05
-0.553913534,1.83E-05
-0.553913832,1.90E-05
-0.55391413,1.83E-05
-0.553914547,1.81E-05
-0.553914964,1.85E-05
-0.553915322,1.79E-05
-0.553915679,1.60E-05
-0.553915918,1.66E-05
-0.553916097,1.88E-05
-0.553916276,1.94E-05
-0.553916395,2.35E-05
-0.553916633,2.95E-05
-0.553916991,3.61E-05
-0.553917587,4.09E-05
-0.553918481,4.89E-05
-0.553919733,5.66E-05
-0.553921282,6.42E-05
-0.55392313,6.92E-05
-0.553925335,7.43E-05
-0.553927779,7.88E-05
-0.553930283,8.06E-05
-0.553932846,8.44E-05
-0.553935289,8.82E-05
-0.553937495,8.88E-05
-0.553939342,8.98E-05
-0.553941011,8.58E-05
-0.553942144,8.32E-05
-0.55394274,8.13E-05
-0.553942621,8.10E-05
-0.553941727,8.26E-05
-0.553940237,8.37E-05
-0.553938389,8.60E-05
-0.553936362,8.78E-05
-0.553934157,8.93E-05
-0.553932011,8.83E-05
-0.553929985,8.78E-05
-0.553928077,8.86E-05
